Title, Source, Date, Content, URL, Category
Airbnb to pay out US$250 million to hosts to help ease coronavirus cancellation pain,Channelnewsasia.com,30/3/2020,Airbnb said on Monday it was allocating US$250 million to help offset losses by hosts around the world whose guests have canceled bookings in the face of the coronavirus pandemic; following its announcement earlier this month that guests could get full refund…,https://www.channelnewsasia.com/news/business/airbnb-to-pay-out-us-250-million-to-hosts-to-help-ease-coronavirus-cancellation-pain-12591816,Business
US grocers add plexiglass sneeze guards to protect cashiers from coronavirus,Channelnewsasia.com,30/3/2020,Kroger Co; Walmart Inc; Albertsons and other grocery sellers are installing plexiglass partitions at checkout counters to protect cashiers from the highly contagious coronavirus.,https://www.channelnewsasia.com/news/business/us-grocers-add-plexiglass-sneeze-guards-to-protect-cashiers-from-coronavirus-12591812,Business
Credit Suisse weighs curbing bonuses at time of coronavirus: CEO,Channelnewsasia.com,30/3/2020,Credit Suisse  bank could restrain 2020 bonuses in a show of unity with victims of the coronavirus epidemic in Switzerland; Chief Executive Thomas Gottstein said on Monday.,https://www.channelnewsasia.com/news/business/credit-suisse-weighs-curbing-bonuses-at-time-of-coronavirus--ceo-12591796,Business
Italy to extend coronavirus lockdown until Easter as new cases fall,Channelnewsasia.com,30/3/2020,ROME: Italy's government on Monday (Mar 30) said it would extend its nationwide lockdown measures against a coronavirus outbreak; due to end on Friday; at least until the Easter season in April; as the number of new infections declines. "The evaluation was to…,https://www.channelnewsasia.com/news/world/italy-extend-coronavirus-lockdown-easter-new-cases-fall-12591216,World
Visa transaction volumes hurt as coronavirus crisis deepens,Channelnewsasia.com,30/3/2020,Visa Inc  said on Monday its transaction volumes had been hit as the coronavirus pandemic wreaks havoc on consumer spending; leading it to forecast mid-single-digit percentage revenue growth for the second quarter.,https://www.channelnewsasia.com/news/business/visa-transaction-volumes-hurt-as-coronavirus-crisis-deepens-12591756,Business
Macy's; Kohl's; Gap turn to mass furloughs as virus crisis deepens,Channelnewsasia.com,30/3/2020,Macy's Inc  said on Monday it would furlough most of its employees starting this week as all stores of the department chain operator stay closed to curb the spread of the coronavirus.,https://www.channelnewsasia.com/news/business/macy-s--kohl-s--gap-turn-to-mass-furloughs-as-virus-crisis-deepens-12590986,Business
Ford; GE to produce 50;000 ventilators in 100 days,Channelnewsasia.com,30/3/2020,DETROIT: Ford Motor Co said on Monday (Mar 30) it will produce 50;000 ventilators over the next 100 days at a plant in Michigan in cooperation with General Electric's healthcare unit; and can then build 30;000 per month as needed to treat patients afflicted w…,https://www.channelnewsasia.com/news/business/ford-produce-50-000-ventilators-100-days-coronavirus-covid-19-12591702,Business
Coronavirus could force GM to delay its redesigned 2021 SUVs,Channelnewsasia.com,30/3/2020,General Motors Co  told suppliers on Monday that it is postponing work on at least half a dozen future models to conserve cash during the coronavirus pandemic and could delay the planned launch in late April of its highly profitable large sport utility vehicl…,https://www.channelnewsasia.com/news/business/coronavirus-could-force-gm-to-delay-its-redesigned-2021-suvs-12591748,Business
Fiat Chrysler executives; salaried employees to take pay cuts during coronavirus pandemic,Channelnewsasia.com,30/3/2020,Fiat Chrysler Automobiles NV's   top executives and salaried workers around the globe will take pay cuts in an act of "shared sacrifice" brought on by the coronavirus pandemic that has shuttered the automaker's plants in Europe and North America; according to…,https://www.channelnewsasia.com/news/business/fiat-chrysler-executives--salaried-employees-to-take-pay-cuts-during-coronavirus-pandemic-12591738,Business
Dow ends up 3.2% as US stocks finish solidly higher,Channelnewsasia.com,30/3/2020,NEW YORK: Wall Street stocks gained more than three per cent on Monday (Mar 30) as markets weighed a dire near-term economic outlook against unprecedented federal spending and central bank interventions.,https://www.channelnewsasia.com/news/business/dow-ends-up-3-2-as-us-stocks-finish-solidly-higher-12591724,Business
