Title, Source, Date, Content, URL, Category, Classification, Relevance
Formula One team helps develop breathing aid for virus patients,Thestar.com.my,30/3/2020,LONDON/HONG KOMG: Medical researchers and engineers have teamed up with Formula One outfit Mercedes to adapt a breathing aid for mass production that could keep Covid-19 (coronavirus) outbreak patients off much-needed ventilators.,https://www.thestar.com.my/news/regional/2020/03/30/formula-one-team-helps-develop-breathing-aid-for-virus-patients,World,,0
Covid-19 death toll in Indonesia rises to 122; total cases to 1;414 (update),Thestar.com.my,30/3/2020,JAKARTA: The Indonesian government said on Monday (March 30) the death toll due to the Covid-19 (coronavirus) outbreak in the country climbed to 122; the highest in South-East Asia.,https://www.thestar.com.my/news/regional/2020/03/30/covid-19-death-toll-in-indonesia-rises-to-122-total-cases-to-1414-update,World,,0
Portuguese immigration officers arrested on suspicion of killing Ukrainian,Thestar.com.my,30/3/2020,LISBON (Reuters) - Portuguese police said on Monday they had detained three immigration officers on suspicion of killing a 40-year-old Ukrainian man who attempted to enter Portugal illegally through Lisbon's airport earlier this month.,https://www.thestar.com.my/news/world/2020/03/30/portuguese-immigration-officers-arrested-on-suspicion-of-killing-ukrainian,World,crime; law and justice - police,100
Fear on front lines as hospital staff face threats; stigma over coronavirus,Thestar.com.my,30/3/2020,MANILA (Reuters) - Janitor Ritchie Estabillo was on his way to work when he was confronted by five men who poured bleach over his face; one of a growing number of hospital staff suffering abuse in the Philippines amid panic over coronavirus infections.,https://www.thestar.com.my/news/world/2020/03/30/fear-on-front-lines-as-hospital-staff-face-threats-stigma-over-coronavirus,World,,0
Pahang MB: Another five initiatives for peoples' welfare announced,Thestar.com.my,30/3/2020,KUANTAN: The Pahang government has announced another five initiatives to protect the welfare of the people; on top of the previous eight initiatives unveiled earlier.,https://www.thestar.com.my/news/nation/2020/03/30/pahang-mb-another-five-initiatives-for-peoples039-welfare-announced,World,politics - government,100
Expo 2020 Dubai; the biggest showpiece; to be postponed by one year,Thestar.com.my,30/3/2020,DUBAI: Expo 2020 Dubai is set to be postponed by one year due to the global Covid-19 (coronavirus) pandemic; according to a draft statement seen by Reuters and two sources familiar with the matter on Monday (March 30).,https://www.thestar.com.my/news/regional/2020/03/30/expo-2020-dubai-the-biggest-showpiece-to-be-postponed-by-one-year,World,health - epidemic and plague,100
Gunmen kill New Zealand man at Freeport mine office in Indonesia's Papua,Thestar.com.my,30/3/2020,JAKARTA (Reuters) - Attackers shot dead a New Zealand man and wounded six other people at an office of the Indonesian arm of mining company Freeport-McMoRan Inc on Monday; police said.,https://www.thestar.com.my/news/world/2020/03/30/gunmen-kill-new-zealand-man-at-freeport-mine-office-in-indonesia039s-papua,World,disaster and accident,100
KL condo put under enhanced movement control order,Thestar.com.my,30/3/2020,PETALING JAYA: The Menara City One condominium tower in Jalan Munshi Abdullah; Kuala Lumpur; has been placed under an enhanced movement control order (MCO).,https://www.thestar.com.my/news/nation/2020/03/30/kl-condo-put-under-enhanced-movement-control-order,World,,0
Cops detain five men in Perak for violating MCO; seize 17 bottles of ketum water,Thestar.com.my,30/3/2020,IPOH: Five men were detained by the police for violating the movement control order (MCO) at Kampung Gajah.,https://www.thestar.com.my/news/nation/2020/03/30/cops-detain-five-men-in-perak-for-violating-mco-seize-17-bottles-of-ketum-water,World,crime; law and justice - police,100
China envoy presents 20;000 face masks to Home Minister,Thestar.com.my,30/3/2020,PUTRAJAYA: A total of 20;000 face masks from China were presented to the Home Ministry here for its frontliners in their fight against Covid-19.,https://www.thestar.com.my/news/nation/2020/03/30/china-envoy-presents-20000-face-masks-to-home-minister,World,,0
American stay-at-home order needed to prevent coronavirus spread - Fauci,Thestar.com.my,30/3/2020,WASHINGTON (Reuters) - Americans need to press on with efforts to contain the spread of coronavirus to start seeing the rates of infection come down; a top U.S. health official said on Monday after President Donald Trump extended a stay-at-home order through …,https://www.thestar.com.my/news/world/2020/03/30/american-stay-at-home-order-needed-to-prevent-coronavirus-spread---fauci,World,health - disease - virus diseases,100
Japan; IOC set July 23 next year for start of delayed Olympics,Thestar.com.my,30/3/2020,TOKYO: Japanese organisers and the International Olympic Committee (IOC) decided on Monday (March 30) that the Tokyo Olympic Games would start on July 23;2021; and run until Aug 8; Kyodo news reported.,https://www.thestar.com.my/news/regional/2020/03/30/japan-ioc-set-july-23-next-year-for-start-of-delayed-olympics,World,sport - sports event - World games,100
Nearly 12;300 Spanish health workers have coronavirus,Thestar.com.my,30/3/2020,MADRID (Reuters) - Some 12;298 health workers have tested positive for coronavirus in Spain; deputy health emergency chief Maria Jose Sierra said at a news conference on Monday.,https://www.thestar.com.my/news/world/2020/03/30/nearly-12300-spanish-health-workers-have-coronavirus,World,,0
Ukraine dusts off Soviet-era ventilator designs to help fight coronavirus,Thestar.com.my,30/3/2020,KIEV (Reuters) - Ukraine is dusting off Soviet-era ventilator designs that lay forgotten in a mothballed military factory for years in a bid to ramp up domestic production of equipment that could help in the fight against the coronavirus.,https://www.thestar.com.my/news/world/2020/03/30/ukraine-dusts-off-soviet-era-ventilator-designs-to-help-fight-coronavirus,World,,0
'This is bliss': Chinese barber has clients queuing up as Wuhan eases lockdown,Thestar.com.my,30/3/2020,WUHAN; China (Reuters) - For barber Xiong Juan; a recent easing of restrictions in the city of Wuhan; epicentre of China's coronavirus outbreak; means she is now busier than ever.,https://www.thestar.com.my/news/world/2020/03/30/039this-is-bliss039-chinese-barber-has-clients-queuing-up-as-wuhan-eases-lockdown,World,,0
Philippines plans 300;000 tons rice import amid lockdown,Thestar.com.my,30/3/2020,MANILA: The Philippines plans to import 300;000 metric tons of rice through state deals to boost supply amid the month-long lockdown due to the Covid-19 (coronavirus) outbreak; Cabinet Secretary Karlo Nograles said on Monday (March 30).,https://www.thestar.com.my/news/regional/2020/03/30/philippines-plans-300000-tons-rice-import-amid-lockdown,World,,0
Cities worldwide have cleaner air amid lockdowns; satellite maps show,Thestar.com.my,30/3/2020,HONG KONG: Air pollution has fallen in cities across the planet; satellite imaging analysed by the European Public Health Alliance (EPHA) shows; as Covid-19 (coronavirus) travel restrictions ground planes and keep cars off the streets.,https://www.thestar.com.my/news/regional/2020/03/30/cities-worldwide-have-cleaner-air-amid-lockdowns-satellite-maps-show,World,environmental issue - environmental pollution,100
Chinese customs toughens measures to curb Covid-19 import,Thestar.com.my,30/3/2020,BEIJING: China has ramped up measures to stem the inflow of Covid (coronavirus) disease cases; the General Administration of Customs (GAC) said Monday (March 30).,https://www.thestar.com.my/news/regional/2020/03/30/chinese-customs-toughens-measures-to-curb-covid-19-import,World,,0
Swiss coronavirus death toll nears 300; positive tests approach 15;500,Thestar.com.my,30/3/2020,ZURICH (Reuters) - The Swiss death toll from coronavirus has reached 295 people; the country's public health bureau said on Monday; rising from 257 people on Sunday.,https://www.thestar.com.my/news/world/2020/03/30/swiss-coronavirus-death-toll-nears-300-positive-tests-approach-15500,World,,0
Air strikes hit Houthi-held Yemeni capital Sanaa - witnesses,Thestar.com.my,30/3/2020,DUBAI (Reuters) - The Saudi-led coalition fighting the Houthi group in Yemen  carried out several air strikes on Monday on the capital Sanaa; where bombings have been rare in recent months thanks to U.N.-backed de-escalation efforts; witnesses said.,https://www.thestar.com.my/news/world/2020/03/30/air-strikes-hit-houthi-held-yemeni-capital-sanaa---witnesses,World,labour - strike,100
Indian police fire tear gas on jobless workers defying coronavirus lockdown,Thestar.com.my,30/3/2020,NEW DELHI/AHMEDABAD: Police in western India fired tear gas to disperse a stone-pelting crowd of migrant workers defying a three-week lockdown against the coronavirus that has left hundreds of thousands of poor without jobs and hungry; authorities said on Mon…,https://www.thestar.com.my/news/regional/2020/03/30/indian-police-fire-tear-gas-on-jobless-workers-defying-coronavirus-lockdown,World,social issue - poverty,100
Legal firms affected by MCO; says Malaysian Bar,Thestar.com.my,30/3/2020,KUALA LUMPUR: The Malaysian Bar is urging the government to provide more relief for law firms affected by the movement control order (MCO) as there were "insufficient provisions" for the firms in the recently announced stimulus package.,https://www.thestar.com.my/news/nation/2020/03/30/legal-firms-affected-by-mco-says-malaysian-bar,World,politics - government,100
Drop in China's new coronavirus cases; none in Wuhan for sixth day,Thestar.com.my,30/3/2020,WUHAN: China on Monday reported a drop in new Covid-19 (coronavirus) infections for a fourth day as drastic curbs on international travellers reined in the number of imported cases; while policymakers turned their efforts to healing the world's second-largest…,https://www.thestar.com.my/news/regional/2020/03/30/drop-in-china039s-new-coronavirus-cases-none-in-wuhan-for-sixth-day,World,health - disease - virus diseases,100
Prime Minister's Office: Economic Action Council welcomes two new members from Sabah and Sarawak,Thestar.com.my,30/3/2020,PETALING JAYA: The Economic Action Council (EAC) has agreed to appoint two top industry players from Sabah and Sarawak as members to represent the states; says the Prime Minister’s Office (PMO).,https://www.thestar.com.my/news/nation/2020/03/30/prime-minister039s-office-economic-action-council-welcomes-two-new-members-from-sabah-and-sarawak,World,,0
Spain's health emergency chief Fernando Simon has coronavirus - official,Thestar.com.my,30/3/2020,MADRID (Reuters) - Spain's health emergency chief Fernando Simon; who leads the country's response to the coronavirus epidemic and maintains regular contact with Prime Minister Pedro Sanchez; has tested positive for the virus; health official Maria Jose Sierr…,https://www.thestar.com.my/news/world/2020/03/30/spain039s-health-emergency-chief-fernando-simon-has-coronavirus---official,World,health - epidemic and plague,100
